client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0035_19,0,,417,test,0.0,4.0991106033325195
f0044_12,0,,249,test,0.0,4.182003974914551
f0048_00,0,,132,test,0.0,4.0685834884643555
f0062_25,0,,391,test,0.025,4.1267991065979
f0140_09,0,,286,test,0.0,4.1346564292907715
f0141_43,0,,195,test,0.0,4.12673282623291
f0153_35,0,,345,test,0.02857142857142857,4.115355014801025
f0167_33,0,,358,test,0.027777777777777776,4.119048118591309
f0170_40,0,,390,test,0.05128205128205128,4.086720943450928
f0181_31,0,,389,test,0.0,4.159506797790527
f0185_23,0,,395,test,0.05,4.175187110900879
f0190_12,0,,312,test,0.03125,4.1030988693237305
f0207_46,0,,392,test,0.0,4.114368915557861
f0235_17,0,,311,test,0.03125,4.133435249328613
f0237_46,0,,313,test,0.03125,4.115683555603027
f0256_08,0,,423,test,0.023255813953488372,4.132553577423096
f0264_18,0,,376,test,0.02631578947368421,4.132685661315918
f0273_27,0,,81,test,0.1111111111111111,4.1022868156433105
f0294_18,0,,133,test,0.14285714285714285,4.106245994567871
f0311_48,0,,315,test,0.03125,4.134273529052734
f0331_41,0,,307,test,0.06451612903225806,4.092473030090332
f0364_10,0,,326,test,0.030303030303030304,4.1201043128967285
f0407_39,0,,319,test,0.0,4.098332405090332
f0410_43,0,,330,test,0.0,4.078803062438965
f0416_07,0,,96,test,0.1,4.062745571136475
f0437_05,0,,360,test,0.0,4.157080173492432
f0469_20,0,,387,test,0.02564102564102564,4.123015880584717
f0473_21,0,,415,test,0.0,4.109428882598877
f0502_09,0,,394,test,0.0,4.140759468078613
f0511_03,0,,289,test,0.0,4.119132041931152
f0585_26,0,,190,test,0.0,4.10549783706665
f0590_06,0,,5,test,0.0,4.297482490539551
f0625_26,0,,368,test,0.02702702702702703,4.127594470977783
f0627_14,0,,282,test,0.034482758620689655,4.116382122039795
f0655_10,0,,206,test,0.09523809523809523,4.108155250549316
f0676_08,0,,354,test,0.05555555555555555,4.114325523376465
f0684_13,0,,274,test,0.0,4.113377094268799
f0713_17,0,,360,test,0.0,4.158456802368164
f0714_32,0,,257,test,0.038461538461538464,4.147780418395996
f0716_15,0,,317,test,0.03125,4.173701286315918
f0728_14,0,,353,test,0.0,4.154644012451172
f0750_18,0,,400,test,0.0,4.125800132751465
f0752_25,0,,408,test,0.04878048780487805,4.139115333557129
f0766_01,0,,361,test,0.02702702702702703,4.112303733825684
f0775_24,0,,371,test,0.02631578947368421,4.0800065994262695
f0779_27,0,,264,test,0.037037037037037035,4.117380619049072
f0787_21,0,,275,test,0.07142857142857142,4.097064018249512
f0825_23,0,,22,test,0.0,4.18428373336792
f0857_21,0,,177,test,0.0,4.157740116119385
f0882_28,0,,199,test,0.0,4.119851112365723
f0899_05,0,,317,test,0.0,4.128318786621094
f0910_22,0,,58,test,0.0,4.097650051116943
f0943_40,0,,394,test,0.025,4.1230597496032715
f0961_08,0,,403,test,0.024390243902439025,4.087469100952148
f0965_28,0,,318,test,0.0,4.109807968139648
f0973_47,0,,304,test,0.0,4.10317850112915
f0979_22,0,,239,test,0.0,4.07422399520874
f1016_36,0,,99,test,0.0,4.1464738845825195
f1044_04,0,,345,test,0.0,4.151492595672607
f1053_00,0,,294,test,0.03333333333333333,4.075782299041748
f1055_16,0,,222,test,0.0,4.12799596786499
f1099_37,0,,278,test,0.03571428571428571,4.147893905639648
f1112_30,0,,390,test,0.02564102564102564,4.1072492599487305
f1118_23,0,,327,test,0.0,4.097880840301514
f1132_19,0,,5,test,0.0,4.003796577453613
f1173_40,0,,130,test,0.0,4.115588665008545
f1217_02,0,,305,test,0.0,4.107178688049316
f1246_39,0,,319,test,0.03125,4.143006324768066
f1314_29,0,,302,test,0.0,4.123084545135498
f1324_40,0,,271,test,0.0,4.11076021194458
f1337_29,0,,220,test,0.045454545454545456,4.175442695617676
f1343_32,0,,236,test,0.0,4.088678359985352
f1354_22,0,,337,test,0.08823529411764706,4.073197364807129
f1386_19,0,,108,test,0.0,4.156864643096924
f1453_47,0,,308,test,0.06451612903225806,4.1335062980651855
f1458_19,0,,320,test,0.0625,4.120550632476807
f1465_32,0,,269,test,0.0,4.113884449005127
f1472_37,0,,387,test,0.05128205128205128,4.113132476806641
f1500_25,0,,143,test,0.13333333333333333,4.089721202850342
f1546_05,0,,175,test,0.1111111111111111,4.121358394622803
f1591_47,0,,72,test,0.125,4.048957824707031
f1596_10,0,,149,test,0.06666666666666667,4.1132283210754395
f1613_27,0,,106,test,0.0,4.096042156219482
f1650_05,0,,156,test,0.0625,4.099789142608643
f1668_08,0,,144,test,0.0,4.135687828063965
f1699_42,0,,157,test,0.0,4.168905258178711
f1707_05,0,,142,test,0.13333333333333333,4.085693836212158
f1775_42,0,,113,test,0.08333333333333333,4.086160182952881
f1777_29,0,,138,test,0.14285714285714285,4.117198467254639
