client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0035_19,0,,417,test,0.047619047619047616,4.14289665222168
f0044_12,0,,249,test,0.0,4.12150239944458
f0048_00,0,,132,test,0.0,4.18337345123291
f0062_25,0,,391,test,0.0,4.135824203491211
f0140_09,0,,286,test,0.0,4.143970966339111
f0141_43,0,,195,test,0.0,4.205499172210693
f0153_35,0,,345,test,0.0,4.1719536781311035
f0167_33,0,,358,test,0.08333333333333333,4.112117290496826
f0170_40,0,,390,test,0.0,4.14253044128418
f0181_31,0,,389,test,0.02564102564102564,4.184944152832031
f0185_23,0,,395,test,0.0,4.155311584472656
f0190_12,0,,312,test,0.0,4.168709754943848
f0207_46,0,,392,test,0.05,4.137821674346924
f0235_17,0,,311,test,0.09375,4.071207046508789
f0237_46,0,,313,test,0.0625,4.112192153930664
f0256_08,0,,423,test,0.023255813953488372,4.15297794342041
f0264_18,0,,376,test,0.02631578947368421,4.133668422698975
f0273_27,0,,81,test,0.0,4.16013765335083
f0294_18,0,,133,test,0.0,4.1111321449279785
f0311_48,0,,315,test,0.0,4.152629852294922
f0331_41,0,,307,test,0.03225806451612903,4.111049652099609
f0364_10,0,,326,test,0.030303030303030304,4.130784034729004
f0407_39,0,,319,test,0.0,4.156903266906738
f0410_43,0,,330,test,0.0,4.137122631072998
f0416_07,0,,96,test,0.0,4.141223907470703
f0437_05,0,,360,test,0.0,4.166340351104736
f0469_20,0,,387,test,0.07692307692307693,4.11497163772583
f0473_21,0,,415,test,0.0,4.151533603668213
f0502_09,0,,394,test,0.025,4.13911247253418
f0511_03,0,,289,test,0.034482758620689655,4.150977611541748
f0585_26,0,,190,test,0.05263157894736842,4.130100250244141
f0590_06,0,,5,test,0.0,3.8456578254699707
f0625_26,0,,368,test,0.02702702702702703,4.1133246421813965
f0627_14,0,,282,test,0.034482758620689655,4.1388163566589355
f0655_10,0,,206,test,0.0,4.143540859222412
f0676_08,0,,354,test,0.05555555555555555,4.11140775680542
f0684_13,0,,274,test,0.0,4.157044410705566
f0713_17,0,,360,test,0.0,4.154782772064209
f0714_32,0,,257,test,0.0,4.179742813110352
f0716_15,0,,317,test,0.03125,4.133674621582031
f0728_14,0,,353,test,0.0,4.195608139038086
f0750_18,0,,400,test,0.0,4.1477556228637695
f0752_25,0,,408,test,0.024390243902439025,4.15385103225708
f0766_01,0,,361,test,0.02702702702702703,4.126042366027832
f0775_24,0,,371,test,0.0,4.1369500160217285
f0779_27,0,,264,test,0.0,4.1455535888671875
f0787_21,0,,275,test,0.0,4.1680192947387695
f0825_23,0,,22,test,0.0,4.214399814605713
f0857_21,0,,177,test,0.0,4.123829364776611
f0882_28,0,,199,test,0.05,4.117398262023926
f0899_05,0,,317,test,0.0,4.136651992797852
f0910_22,0,,58,test,0.0,4.135067462921143
f0943_40,0,,394,test,0.05,4.129477024078369
f0961_08,0,,403,test,0.0,4.165607452392578
f0965_28,0,,318,test,0.0625,4.132030487060547
f0973_47,0,,304,test,0.06451612903225806,4.109993934631348
f0979_22,0,,239,test,0.0,4.127225875854492
f1016_36,0,,99,test,0.0,4.156797409057617
f1044_04,0,,345,test,0.02857142857142857,4.136631488800049
f1053_00,0,,294,test,0.0,4.147183418273926
f1055_16,0,,222,test,0.0,4.147103309631348
f1099_37,0,,278,test,0.03571428571428571,4.162367343902588
f1112_30,0,,390,test,0.02564102564102564,4.1493239402771
f1118_23,0,,327,test,0.0,4.163747787475586
f1132_19,0,,5,test,0.0,4.18684196472168
f1173_40,0,,130,test,0.0,4.169610023498535
f1217_02,0,,305,test,0.03225806451612903,4.1216654777526855
f1246_39,0,,319,test,0.0,4.140613555908203
f1314_29,0,,302,test,0.0,4.152271747589111
f1324_40,0,,271,test,0.0,4.189515113830566
f1337_29,0,,220,test,0.0,4.157289028167725
f1343_32,0,,236,test,0.0,4.174018383026123
f1354_22,0,,337,test,0.029411764705882353,4.155438423156738
f1386_19,0,,108,test,0.0,4.174222946166992
f1453_47,0,,308,test,0.0,4.15708589553833
f1458_19,0,,320,test,0.03125,4.141414642333984
f1465_32,0,,269,test,0.0,4.157627105712891
f1472_37,0,,387,test,0.0,4.138805389404297
f1500_25,0,,143,test,0.0,4.177441596984863
f1546_05,0,,175,test,0.0,4.1508660316467285
f1591_47,0,,72,test,0.0,4.146780014038086
f1596_10,0,,149,test,0.0,4.195323467254639
f1613_27,0,,106,test,0.0,4.150884628295898
f1650_05,0,,156,test,0.0625,4.107048511505127
f1668_08,0,,144,test,0.0,4.193496227264404
f1699_42,0,,157,test,0.0,4.1621294021606445
f1707_05,0,,142,test,0.0,4.142958641052246
f1775_42,0,,113,test,0.0,4.2274909019470215
f1777_29,0,,138,test,0.0,4.143947124481201
f1794_07,0,,130,test,0.0,4.146143913269043
f1798_42,0,,97,test,0.0,4.251257419586182
f1807_08,0,,160,test,0.0,4.155529499053955
f1808_13,0,,130,test,0.0,4.213254451751709
f1824_18,0,,161,test,0.0,4.159198760986328
f1827_17,0,,161,test,0.0,4.215487957000732
f1833_03,0,,179,test,0.0,4.189272880554199
f1849_46,0,,170,test,0.0,4.177195072174072
f1871_04,0,,160,test,0.0,4.1549177169799805
f1901_07,0,,153,test,0.0,4.186906337738037
f1906_16,0,,173,test,0.0,4.201929569244385
f1914_02,0,,116,test,0.0,4.161435604095459
f1938_21,0,,145,test,0.0,4.248877048492432
f1969_24,0,,52,test,0.0,4.125246047973633
f1970_32,0,,167,test,0.0,4.175647258758545
f1972_15,0,,137,test,0.0,4.234130382537842
f1975_00,0,,128,test,0.0,4.190019130706787
f1994_21,0,,161,test,0.0,4.180788040161133
f2014_07,0,,165,test,0.0,4.17929744720459
f2048_19,0,,105,test,0.0,4.144501209259033
f2065_28,0,,3,test,0.0,4.339639186859131
f2078_03,0,,156,test,0.0,4.164209365844727
f2103_60,0,,177,test,0.0,4.164861679077148
f2122_65,0,,173,test,0.0,4.22287654876709
f2131_73,0,,180,test,0.0,4.195254325866699
f2144_67,0,,177,test,0.0,4.1532111167907715
f2151_92,0,,154,test,0.0625,4.130146026611328
f2193_99,0,,178,test,0.05555555555555555,4.160157203674316
f2197_62,0,,142,test,0.0,4.138278007507324
f2201_80,0,,55,test,0.0,4.1003923416137695
f2232_76,0,,132,test,0.0,4.192673206329346
f2257_69,0,,170,test,0.058823529411764705,4.106969356536865
f2261_76,0,,173,test,0.0,4.180197715759277
f2279_94,0,,182,test,0.05263157894736842,4.14158821105957
f2284_51,0,,175,test,0.0,4.17910099029541
f2291_65,0,,182,test,0.0,4.177490711212158
f2329_94,0,,117,test,0.08333333333333333,4.131062984466553
f2355_85,0,,13,test,0.0,4.13336181640625
f2382_52,0,,179,test,0.0,4.172034740447998
f2394_84,0,,131,test,0.07142857142857142,4.130636215209961
f2395_78,0,,166,test,0.0,4.183063507080078
f2416_80,0,,169,test,0.0,4.148526191711426
f2422_85,0,,134,test,0.0,4.170488357543945
f2429_95,0,,5,test,0.0,4.154738426208496
