client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0035_19,0,,417,test,0.0,4.170224189758301
f0044_12,0,,249,test,0.0,4.144903659820557
f0048_00,0,,132,test,0.0,4.118031024932861
f0062_25,0,,391,test,0.0,4.130104064941406
f0140_09,0,,286,test,0.034482758620689655,4.171867370605469
f0141_43,0,,195,test,0.0,4.150879383087158
f0153_35,0,,345,test,0.0,4.139259338378906
f0167_33,0,,358,test,0.0,4.106775283813477
f0170_40,0,,390,test,0.02564102564102564,4.133973598480225
f0181_31,0,,389,test,0.0,4.158864498138428
f0185_23,0,,395,test,0.025,4.109335422515869
f0190_12,0,,312,test,0.0,4.1405839920043945
f0207_46,0,,392,test,0.0,4.137782096862793
f0235_17,0,,311,test,0.0,4.133296489715576
f0237_46,0,,313,test,0.03125,4.113862037658691
f0256_08,0,,423,test,0.0,4.125498294830322
f0264_18,0,,376,test,0.0,4.171309471130371
f0273_27,0,,81,test,0.0,4.075464248657227
f0294_18,0,,133,test,0.0,4.10853910446167
f0311_48,0,,315,test,0.0,4.148993492126465
f0331_41,0,,307,test,0.0,4.130969524383545
f0364_10,0,,326,test,0.0,4.128688335418701
f0407_39,0,,319,test,0.0,4.1532158851623535
f0410_43,0,,330,test,0.0,4.133515357971191
f0416_07,0,,96,test,0.0,4.148451805114746
f0437_05,0,,360,test,0.0,4.146600723266602
f0469_20,0,,387,test,0.0,4.152347564697266
f0473_21,0,,415,test,0.0,4.166538238525391
f0502_09,0,,394,test,0.0,4.101497650146484
f0511_03,0,,289,test,0.0,4.174535751342773
f0585_26,0,,190,test,0.0,4.110751152038574
f0590_06,0,,5,test,0.0,4.176650524139404
f0625_26,0,,368,test,0.0,4.131953239440918
f0627_14,0,,282,test,0.0,4.106312274932861
f0655_10,0,,206,test,0.0,4.116000175476074
f0676_08,0,,354,test,0.0,4.133989334106445
f0684_13,0,,274,test,0.0,4.12760591506958
f0713_17,0,,360,test,0.0,4.124464511871338
f0714_32,0,,257,test,0.0,4.1213507652282715
f0716_15,0,,317,test,0.0,4.129002571105957
f0728_14,0,,353,test,0.027777777777777776,4.14900541305542
f0750_18,0,,400,test,0.0,4.139981746673584
f0752_25,0,,408,test,0.0,4.131489276885986
f0766_01,0,,361,test,0.0,4.118372917175293
f0775_24,0,,371,test,0.0,4.142120361328125
