client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f0035_19,0,,417,test,0.023809523809523808,4.106681823730469
f0044_12,0,,249,test,0.0,4.110267639160156
f0048_00,0,,132,test,0.14285714285714285,4.097885608673096
f0062_25,0,,391,test,0.0,4.158411979675293
f0140_09,0,,286,test,0.0,4.114309787750244
f0141_43,0,,195,test,0.15,4.1088547706604
f0153_35,0,,345,test,0.05714285714285714,4.1538286209106445
f0167_33,0,,358,test,0.08333333333333333,4.129184246063232
f0170_40,0,,390,test,0.0,4.113216400146484
f0181_31,0,,389,test,0.02564102564102564,4.107766151428223
f0185_23,0,,395,test,0.0,4.140450477600098
f0190_12,0,,312,test,0.0625,4.136574745178223
f0207_46,0,,392,test,0.0,4.143172264099121
f0235_17,0,,311,test,0.0,4.125730037689209
f0237_46,0,,313,test,0.0,4.131178855895996
f0256_08,0,,423,test,0.023255813953488372,4.1152215003967285
f0264_18,0,,376,test,0.0,4.146839141845703
f0273_27,0,,81,test,0.1111111111111111,4.174604415893555
f0294_18,0,,133,test,0.07142857142857142,4.1246209144592285
f0311_48,0,,315,test,0.0625,4.092719078063965
f0331_41,0,,307,test,0.0,4.135762691497803
f0364_10,0,,326,test,0.0,4.137709140777588
f0407_39,0,,319,test,0.0,4.141042709350586
f0410_43,0,,330,test,0.030303030303030304,4.127400875091553
f0416_07,0,,96,test,0.2,4.131442546844482
f0437_05,0,,360,test,0.0,4.149898052215576
f0469_20,0,,387,test,0.0,4.130166530609131
f0473_21,0,,415,test,0.047619047619047616,4.112125873565674
f0502_09,0,,394,test,0.025,4.119166374206543
f0511_03,0,,289,test,0.034482758620689655,4.142538547515869
f0585_26,0,,190,test,0.05263157894736842,4.1358819007873535
f0590_06,0,,5,test,0.0,3.902400016784668
f0625_26,0,,368,test,0.0,4.112203121185303
f0627_14,0,,282,test,0.034482758620689655,4.138914108276367
f0655_10,0,,206,test,0.047619047619047616,4.170270919799805
f0676_08,0,,354,test,0.0,4.1384124755859375
f0684_13,0,,274,test,0.07142857142857142,4.103204250335693
f0713_17,0,,360,test,0.0,4.103978633880615
f0714_32,0,,257,test,0.038461538461538464,4.1491827964782715
f0716_15,0,,317,test,0.0,4.130737781524658
f0728_14,0,,353,test,0.027777777777777776,4.109201431274414
f0750_18,0,,400,test,0.0,4.094404697418213
f0752_25,0,,408,test,0.024390243902439025,4.1025390625
f0766_01,0,,361,test,0.05405405405405406,4.113157749176025
f0775_24,0,,371,test,0.07894736842105263,4.103838920593262
f0779_27,0,,264,test,0.037037037037037035,4.1339545249938965
f0787_21,0,,275,test,0.03571428571428571,4.143857002258301
f0825_23,0,,22,test,0.3333333333333333,4.038040637969971
f0857_21,0,,177,test,0.0,4.146830081939697
f0882_28,0,,199,test,0.0,4.152472972869873
f0899_05,0,,317,test,0.03125,4.102535247802734
f0910_22,0,,58,test,0.16666666666666666,4.139547348022461
f0943_40,0,,394,test,0.025,4.10593318939209
f0961_08,0,,403,test,0.07317073170731707,4.111739635467529
f0965_28,0,,318,test,0.0,4.109809875488281
f0973_47,0,,304,test,0.0,4.139789581298828
f0979_22,0,,239,test,0.041666666666666664,4.1420817375183105
f1016_36,0,,99,test,0.0,4.1593337059021
f1044_04,0,,345,test,0.0,4.081982135772705
f1053_00,0,,294,test,0.0,4.134021282196045
f1055_16,0,,222,test,0.08695652173913043,4.094934940338135
f1099_37,0,,278,test,0.10714285714285714,4.093278408050537
f1112_30,0,,390,test,0.0,4.13145112991333
f1118_23,0,,327,test,0.06060606060606061,4.100838661193848
f1132_19,0,,5,test,0.0,4.22663688659668
f1173_40,0,,130,test,0.0,4.20419979095459
f1217_02,0,,305,test,0.0,4.109715461730957
f1246_39,0,,319,test,0.09375,4.081414222717285
f1314_29,0,,302,test,0.0,4.155041217803955
f1324_40,0,,271,test,0.07142857142857142,4.144659996032715
f1337_29,0,,220,test,0.0,4.132567405700684
f1343_32,0,,236,test,0.041666666666666664,4.146552562713623
f1354_22,0,,337,test,0.058823529411764705,4.124414920806885
f1386_19,0,,108,test,0.09090909090909091,4.057466506958008
f1453_47,0,,308,test,0.06451612903225806,4.118973255157471
f1458_19,0,,320,test,0.03125,4.139769077301025
f1465_32,0,,269,test,0.037037037037037035,4.091859817504883
f1472_37,0,,387,test,0.05128205128205128,4.108530521392822
f1500_25,0,,143,test,0.0,4.208592414855957
f1546_05,0,,175,test,0.0,4.1670050621032715
f1591_47,0,,72,test,0.125,4.209616661071777
f1596_10,0,,149,test,0.06666666666666667,4.169243812561035
f1613_27,0,,106,test,0.09090909090909091,4.073605537414551
f1650_05,0,,156,test,0.0625,4.172482490539551
f1668_08,0,,144,test,0.06666666666666667,4.146033763885498
f1699_42,0,,157,test,0.0,4.149432182312012
f1707_05,0,,142,test,0.0,4.176801681518555
f1775_42,0,,113,test,0.16666666666666666,4.141998767852783
f1777_29,0,,138,test,0.07142857142857142,4.171189785003662
f1794_07,0,,130,test,0.0,4.206177234649658
f1798_42,0,,97,test,0.1,4.143133163452148
f1807_08,0,,160,test,0.0625,4.168818473815918
f1808_13,0,,130,test,0.0,4.127192974090576
f1824_18,0,,161,test,0.0,4.182670593261719
f1827_17,0,,161,test,0.11764705882352941,4.116179943084717
f1833_03,0,,179,test,0.1111111111111111,4.141153812408447
f1849_46,0,,170,test,0.0,4.1519269943237305
f1871_04,0,,160,test,0.0625,4.166576385498047
f1901_07,0,,153,test,0.125,4.102025508880615
f1906_16,0,,173,test,0.05555555555555555,4.158039093017578
f1914_02,0,,116,test,0.0,4.183948516845703
f1938_21,0,,145,test,0.13333333333333333,4.132595062255859
f1969_24,0,,52,test,0.0,4.131664276123047
f1970_32,0,,167,test,0.0,4.167078971862793
f1972_15,0,,137,test,0.14285714285714285,4.138856887817383
f1975_00,0,,128,test,0.15384615384615385,4.138736724853516
f1994_21,0,,161,test,0.0,4.224538803100586
f2014_07,0,,165,test,0.058823529411764705,4.09053897857666
f2048_19,0,,105,test,0.0,4.1418867111206055
f2065_28,0,,3,test,0.0,4.194057464599609
f2078_03,0,,156,test,0.1875,4.094518184661865
f2103_60,0,,177,test,0.05555555555555555,4.156942367553711
f2122_65,0,,173,test,0.3333333333333333,4.071139812469482
f2131_73,0,,180,test,0.16666666666666666,4.099804401397705
f2144_67,0,,177,test,0.05555555555555555,4.161704063415527
f2151_92,0,,154,test,0.0,4.202027320861816
f2193_99,0,,178,test,0.0,4.186286449432373
f2197_62,0,,142,test,0.06666666666666667,4.1622633934021
f2201_80,0,,55,test,0.0,4.243353843688965
f2232_76,0,,132,test,0.0,4.162314414978027
f2257_69,0,,170,test,0.0,4.177104949951172
f2261_76,0,,173,test,0.05555555555555555,4.169650077819824
f2279_94,0,,182,test,0.0,4.180935382843018
f2284_51,0,,175,test,0.16666666666666666,4.135851860046387
f2291_65,0,,182,test,0.05263157894736842,4.1244916915893555
f2329_94,0,,117,test,0.0,4.177323818206787
f2355_85,0,,13,test,0.0,4.1871795654296875
f2382_52,0,,179,test,0.1111111111111111,4.1387410163879395
f2394_84,0,,131,test,0.14285714285714285,4.11329984664917
f2395_78,0,,166,test,0.11764705882352941,4.11679220199585
f2416_80,0,,169,test,0.11764705882352941,4.088188648223877
f2422_85,0,,134,test,0.21428571428571427,4.111938953399658
f2429_95,0,,5,test,0.0,4.169007301330566
f2518_67,0,,168,test,0.11764705882352941,4.14206600189209
f2528_69,0,,169,test,0.058823529411764705,4.139510154724121
f2555_88,0,,180,test,0.05555555555555555,4.125761032104492
f2560_93,0,,170,test,0.058823529411764705,4.099745750427246
f2564_59,0,,154,test,0.0,4.149372100830078
f2596_86,0,,165,test,0.11764705882352941,4.089388370513916
f3119_39,0,,166,test,0.0,4.130307197570801
f3142_38,0,,180,test,0.05555555555555555,4.137673854827881
f3152_47,0,,182,test,0.05263157894736842,4.103034496307373
f3164_09,0,,31,test,0.25,4.009315013885498
f3178_23,0,,2,test,0.0,4.029725074768066
f3181_10,0,,157,test,0.125,4.119087219238281
f3183_15,0,,180,test,0.05555555555555555,4.15654182434082
f3185_38,0,,171,test,0.1111111111111111,4.173084735870361
f3194_31,0,,184,test,0.21052631578947367,4.129176139831543
f3202_01,0,,166,test,0.11764705882352941,4.165867805480957
f3208_06,0,,172,test,0.16666666666666666,4.139871597290039
f3210_22,0,,170,test,0.0,4.191791534423828
f3223_18,0,,141,test,0.0,4.170221328735352
f3244_38,0,,164,test,0.0,4.145449638366699
f3259_15,0,,180,test,0.05555555555555555,4.206674575805664
f3311_03,0,,162,test,0.0,4.157782554626465
f3326_06,0,,174,test,0.16666666666666666,4.108767986297607
f3338_15,0,,168,test,0.11764705882352941,4.14027214050293
f3366_32,0,,176,test,0.1111111111111111,4.1625823974609375
f3436_22,0,,167,test,0.17647058823529413,4.097557544708252
