f2131_73,1,,180,train,26414840,26414840,42249648000
f3816_24,1,,28,train,26414840,26414840,5281206000
f0979_22,1,,239,train,26414840,26414840,55452663000
f1794_07,1,,130,train,26414840,26414840,29046633000
f0207_46,1,,392,train,26414840,26414840,92421105000
f0713_17,1,,360,train,26414840,26414840,84499296000
f0294_18,1,,133,train,26414840,26414840,29046633000
f2329_94,1,,117,train,26414840,26414840,26406030000
f3561_09,1,,173,train,26414840,26414840,39609045000
f0167_33,1,,358,train,26414840,26414840,84499296000
f0141_43,1,,195,train,26414840,26414840,44890251000
f2284_51,1,,175,train,26414840,26414840,39609045000
f3500_08,1,,178,train,26414840,26414840,42249648000
f3701_44,1,,153,train,26414840,26414840,34327839000
f1453_47,1,,308,train,26414840,26414840,71296281000
f0775_24,2,,371,train,26414840,26414840,87139899000
f3669_35,2,,172,train,26414840,26414840,39609045000
f3561_09,2,,173,train,26414840,26414840,39609045000
f0676_08,2,,354,train,26414840,26414840,81858693000
f2560_93,2,,170,train,26414840,26414840,39609045000
f0190_12,2,,312,train,26414840,26414840,73936884000
f2284_51,2,,175,train,26414840,26414840,39609045000
f1613_27,2,,106,train,26414840,26414840,23765427000
f3701_44,2,,153,train,26414840,26414840,34327839000
f1969_24,2,,52,train,26414840,26414840,10562412000
f3700_25,2,,164,train,26414840,26414840,36968442000
f3782_00,2,,175,train,26414840,26414840,39609045000
f0511_03,2,,289,train,26414840,26414840,68655678000
f0264_18,2,,376,train,26414840,26414840,87139899000
f3178_23,2,,2,train,26414840,26414840,0
f0410_43,3,,330,train,26414840,26414840,76577487000
f2284_51,3,,175,train,26414840,26414840,39609045000
f0676_08,3,,354,train,26414840,26414840,81858693000
f0185_23,3,,395,train,26414840,26414840,92421105000
f0857_21,3,,177,train,26414840,26414840,39609045000
f0048_00,3,,132,train,26414840,26414840,29046633000
f2416_80,3,,169,train,26414840,26414840,39609045000
f0511_03,3,,289,train,26414840,26414840,68655678000
f1794_07,3,,130,train,26414840,26414840,29046633000
f3550_07,3,,160,train,26414840,26414840,36968442000
f3561_09,3,,173,train,26414840,26414840,39609045000
f2382_52,3,,179,train,26414840,26414840,42249648000
f0207_46,3,,392,train,26414840,26414840,92421105000
f0237_46,3,,313,train,26414840,26414840,73936884000
f1994_21,3,,161,train,26414840,26414840,36968442000
f0655_10,4,,206,train,26414840,26414840,47530854000
f0437_05,4,,360,train,26414840,26414840,84499296000
f0237_46,4,,313,train,26414840,26414840,73936884000
f1613_27,4,,106,train,26414840,26414840,23765427000
f2065_28,4,,3,train,26414840,26414840,0
f3119_39,4,,166,train,26414840,26414840,36968442000
f3142_38,4,,180,train,26414840,26414840,42249648000
f1386_19,4,,108,train,26414840,26414840,23765427000
f0207_46,4,,392,train,26414840,26414840,92421105000
f0062_25,4,,391,train,26414840,26414840,92421105000
f3326_06,4,,174,train,26414840,26414840,39609045000
f0153_35,4,,345,train,26414840,26414840,81858693000
f1099_37,4,,278,train,26414840,26414840,66015075000
f0787_21,4,,275,train,26414840,26414840,63374472000
f2560_93,4,,170,train,26414840,26414840,39609045000
f2131_73,1,,180,train,26414840,26414840,42249648000
f3816_24,1,,28,train,26414840,26414840,5281206000
f0979_22,1,,239,train,26414840,26414840,55452663000
f1794_07,1,,130,train,26414840,26414840,29046633000
f0207_46,1,,392,train,26414840,26414840,92421105000
f0713_17,1,,360,train,26414840,26414840,84499296000
f0294_18,1,,133,train,26414840,26414840,29046633000
f2329_94,1,,117,train,26414840,26414840,26406030000
f3561_09,1,,173,train,26414840,26414840,39609045000
f0167_33,1,,358,train,26414840,26414840,84499296000
f0141_43,1,,195,train,26414840,26414840,44890251000
f2284_51,1,,175,train,26414840,26414840,39609045000
f3500_08,1,,178,train,26414840,26414840,42249648000
f3701_44,1,,153,train,26414840,26414840,34327839000
